,backup_kusto_test,end_time,failover_kusto_test,loss,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
0,3.4999833333333332,2019-06-19 01:39:03,"(0.0, 0.20971689570558855)",203819.4,59374050.0,965,0.019,9279,2019-06-19 00:56:44,203819.4,443800
1,2.9930000000000003,2019-06-19 01:47:39,"(0.0016741071428571428, 0.10260379777608156)",160864.666666667,66393340.0,865,0.026,9280,2019-06-19 01:05:12,160864.666666667,461900
2,3.0000166666666668,2019-06-19 02:01:12,"(0.0, 0.12106028020151387)",189072.366666667,66743440.0,720,0.021,9281,2019-06-19 01:18:19,189072.366666667,395500
