,backup_kusto_test,end_time,failover_kusto_test,loss,weights_multiquadratic,weights_linear,weights_cubic,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
12,3.000066667,6/19/2019 9:30,"(0.0, 0.489886500826552)",205306.8,-0.141951996,-0.048444202,2.16E-14,91320520,490,0.019,9291,6/19/2019 8:48,205306.8,500700
13,3.000283333,6/19/2019 10:00,"(0.0016741071428571428, 0.11914564613613673)",181922.8,0.144514046,-0.037201545,1.75E-13,99946090,465,0.021,9292,6/19/2019 9:18,181922.8,172100
14,3.000016667,6/19/2019 10:23,"(0.0, 0.15411488937064188)",188176.2,-0.031923726,-0.032644146,2.38E-13,45742990,230,0.021,9293,6/19/2019 9:40,188176.2,141400
15,3.5047,6/19/2019 10:43,"(0.0, 3.0660375284717167)",0,0.031524871,0.029749834,9.64E-14,62499990,135,0.021,9294,6/19/2019 10:00,194469.4614,235000
16,3.000283333,6/19/2019 12:06,"(0.0, 0.5224371623014502)",204750.4667,-0.051719263,-0.052641424,3.42E-14,86522870,625,0.019,9295,6/19/2019 11:23,204750.4667,84000
17,3.500016667,6/19/2019 12:51,"(0.0013950892857142857, 0.10826961073186098)",169668.9667,0.067949161,-0.025414619,1.43E-13,108667110,370,0.024,9296,6/19/2019 12:09,169668.9667,117600
18,3.50025,6/19/2019 13:16,"(0.0, 0.22985611484409627)",168344.7667,-0.136861996,-0.135608061,4.66E-14,42339640,335,0.025,9297,6/19/2019 12:33,168344.7667,425400
19,3.505233333,6/19/2019 13:26,"(0.0, 4.829842785869796)",0,0.101291933,0.102967639,-1.47E-13,62384850,170,0.019,9298,6/19/2019 12:43,209665.2193,350600
20,2.500516667,6/18/2019 12:03,"(0.0013950892857142857, 0.9835934617946325)",186851.0333,-0.001894678,-0.002673827,-1.11E-14,33953350,840,0.021,9270,6/18/2019 11:21,186851.0333,108600
21,3.00005,6/18/2019 14:35,"(0.0646701388888889, 0.135172141525305)",189000,-0.094724419,-0.090021647,1.18E-13,111619360,35,0.021,9271,6/18/2019 13:53,189000,289200
22,2.500283333,6/18/2019 16:43,"(0.0885044642857143, 0.177843661421989)",186000,0.002577147,0.000689556,-2.77E-14,98947350,470,0.021,9273,6/18/2019 16:00,186000,43400
23,3.001316667,6/18/2019 18:25,"(0, 1.79635734831851)",0,0.034447195,0.034834458,-2.28E-15,125286730,505,0.019,9274,6/18/2019 17:42,205000,419400
24,3.000016667,6/18/2019 18:47,"(0.00139508928571429, 0.296795314664706)",190000,-0.073811297,-0.073770629,8.15E-14,41471220,200,0.02,9275,6/18/2019 18:05,190000,352900
25,3.0003,6/18/2019 20:04,"(0.00139508928571429, 0.115285430642495)",179000,0.045834794,0.047555459,-1.49E-11,72566950,475,0.022,9276,6/18/2019 19:22,179000,352800
26,3.000016667,6/18/2019 21:06,"(0, 0.292706860957342)",206000,-0.035924034,-0.042280296,-2.83E-14,115353400,765,0.019,9277,6/18/2019 20:23,206000,257800
27,2.500233333,6/18/2019 21:35,"(0.00279017857142857, 0.113203232325513)",189000,-0.017958993,-0.017901916,1.10E-14,26485550,695,0.02,9278,6/18/2019 20:53,189000,211400
28,2.500016667,6/19/2019 19:19,"(0.0, 13.171396040252262)",0,0.10143786,0.101204304,-2.98E-14,51160180,1010,0.022,9303,6/19/2019 18:36,174726.5667,15900
29,3.500283333,6/19/2019 19:25,"(0.0, 11.748211562836742)",0,2.151189319,2.149085981,-7.03E-11,72855690,275,0.019,9304,6/19/2019 18:43,202905.8333,163600
30,2.502883333,6/19/2019 19:41,"(0.0, 0.36514243227684196)",204947.6333,-0.017063263,-0.02026343,-4.01E-14,112175150,995,0.019,9305,6/19/2019 18:58,204947.6333,143900
31,3.499766667,6/19/2019 19:54,"(0.0, 0.11697996479747401)",179605.5,-0.329856136,-0.208077368,1.81E-13,105663390,860,0.021,9306,6/19/2019 19:12,179605.5,301600
32,3,6/19/2019 21:46,"(0.0, 0.17010791398701475)",189618.4667,0.105371575,0.104334673,5.13E-13,120849000,490,0.02,9307,6/19/2019 21:04,189618.4667,111900
33,4.000033333,6/19/2019 21:48,"(0.0, 1.0980885317932676)",172041.8673,-0.152673365,-0.072691379,-1.32E-13,100303380,1015,0.021,9308,6/19/2019 21:05,190752.5,369500
34,3.507283333,6/19/2019 21:57,"(0.0, 1.4225167213881313)",118695.5281,0.056245782,0.057307186,-2.78E-14,92326810,665,0.019,9309,6/19/2019 21:15,205539.3333,517700
35,3.00365,6/19/2019 22:19,"(0.0, 2.1278514997483353)",0,0.957309581,0.954266211,-7.26E-12,117735780,270,0.022,9310,6/19/2019 21:37,177865.9333,29900
36,2.50365,6/20/2019 0:05,"(0.0, 0.15064465986259967)",190424.1667,-0.055192798,-0.055179342,-2.49E-15,122427420,275,0.02,9311,6/19/2019 23:22,190424.1667,122700
37,3.500016667,6/20/2019 0:05,"(0.0, 0.27940450777429515)",204552.9667,-0.00740641,-0.007452527,-7.35E-15,97571540,40,0.019,9312,6/19/2019 23:23,204552.9667,191700
38,4.000283333,6/20/2019 0:16,"(0.0, 9.495281310189831)",0,0.056489259,0.056654385,-1.70E-14,84298940,1010,0.018,9313,6/19/2019 23:34,210561.4333,264900
39,3.500033333,6/20/2019 0:41,"(0.0, 0.11349438860741635)",178526.6333,-0.001068222,-0.001054506,1.78E-15,29970870,165,0.022,9314,6/19/2019 23:59,178526.6333,212600
