,backup_kusto_test,end_time,failover_kusto_test,loss,weights_multiquadratic,weights_gaussian,weights_linear,weights_cubic,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
0,3.4999833330000003,6/19/2019 1:39,"(0.0, 0.20971689570558855)",203819.4,-0.005178900210942215,203819.4,-0.005178927044590977,-1.780731652190228e-14,59374050,965,0.019,9279,6/19/2019 0:56,203819.4,443800
1,2.9930000000000003,6/19/2019 1:47,"(0.0016741071428571428, 0.10260379777608156)",160864.6667,0.01971729088979824,160864.6667,0.019717205517935446,-1.7504878004228935e-14,66393340,865,0.026000000000000002,9280,6/19/2019 1:05,160864.6667,461900
2,3.0000166669999997,6/19/2019 2:01,"(0.0, 0.12106028020151387)",189072.3667,-0.0421147885037785,189072.3667,-0.042114695548816465,2.3029966041212634e-14,66743440,720,0.021,9281,6/19/2019 1:18,189072.3667,395500
3,3.50465,6/19/2019 2:02,"(1.8924479166666666, 1.6780824303712973)",67777.95228,-0.007335105978141486,67777.95228,-0.007334985783714436,-1.640081677297786e-14,43056010,780,0.018000000000000002,9282,6/19/2019 1:19,210544.4333,282400
4,3.500516667,6/19/2019 4:12,"(0.0, 0.22794632270198079)",202872.4333,-0.08877829093364054,202872.4333,-0.0887781770769847,2.3498577426154353e-14,118844940,1025,0.019,9283,6/19/2019 3:30,202872.4333,334800
5,3.000266667,6/19/2019 4:33,"(0.0, 0.11702033301874651)",181186.6667,-0.002748265278360824,181186.6667,-0.0027482912531294314,-6.091443073090447e-14,115694210,235,0.021,9284,6/19/2019 3:51,181186.6667,418400
6,2.5000166669999997,6/19/2019 4:53,"(0.001583614864864865, 0.12544241233864165)",188224.9,-0.008342815787217642,188224.9,-0.008342812099066703,5.448638935857002e-15,57948410,620,0.021,9285,6/19/2019 4:11,188224.9,339900
7,4.0,6/19/2019 5:05,"(0.0, 2.635248465804186)",0.0,0.1986834212834914,0.0,0.19868298909301968,-2.88525887307551e-14,42642770,1010,0.022000000000000002,9286,6/19/2019 4:23,187853.9,30400
8,3.000266667,6/19/2019 6:50,"(0.0013950892857142857, 0.2930118716430582)",203495.2667,-0.1118795366318973,203495.2667,-0.11187939996535928,6.4496360745032e-14,61467490,130,0.019,9287,6/19/2019 6:07,203495.2667,282200
9,3.0000166669999997,6/19/2019 7:18,"(0.0, 0.20747802708689345)",178563.6667,0.010967058907535009,178563.6667,0.010967033087539256,-1.606421939023001e-14,88947140,375,0.022000000000000002,9288,6/19/2019 6:35,178563.6667,413100
10,3.000533333,6/19/2019 7:39,"(0.0, 0.1775660223079335)",188514.8333,-0.006566387944582001,188514.8333,-0.006566390119705693,-3.81306586744417e-14,33987030,425,0.021,9289,6/19/2019 6:56,188514.8333,298300
11,3.50755,6/19/2019 7:58,"(0.0, 7.185235805869713)",0.0,0.15099324494362418,0.0,0.15099306312954938,-1.0250615388644128e-13,110765900,980,0.019,9290,6/19/2019 7:16,210375.2333,216300
12,3.000066667,6/19/2019 9:30,"(0.0, 0.489886500826552)",205306.8,-0.04858529003994653,205306.8,-0.04858522798754557,2.5646712863239557e-14,91320520,490,0.019,9291,6/19/2019 8:48,205306.8,500700
13,3.000283333,6/19/2019 10:00,"(0.0016741071428571428, 0.11914564613613673)",181922.8,-0.01081325950219452,181922.8,-0.010813220582128767,2.9697450069553406e-14,99946090,465,0.021,9292,6/19/2019 9:18,181922.8,172100
14,3.0000166669999997,6/19/2019 10:23,"(0.0, 0.15411488937064188)",188176.2,-0.04225931034051355,188176.2,-0.04225929160704644,8.087683431218753e-15,45742990,230,0.021,9293,6/19/2019 9:40,188176.2,141400
15,3.5047,6/19/2019 10:43,"(0.0, 3.0660375284717167)",0.0,0.03158423841780442,0.0,0.03158443879004887,1.1534839870749065e-13,62499990,135,0.021,9294,6/19/2019 10:00,194469.4614,235000
16,3.000283333,6/19/2019 12:06,"(0.0, 0.5224371623014502)",204750.4667,-0.05156413006452126,204750.4667,-0.05156409410620041,1.4352753657601462e-14,86522870,625,0.019,9295,6/19/2019 11:23,204750.4667,84000
17,3.5000166669999997,6/19/2019 12:51,"(0.0013950892857142857, 0.10826961073186098)",169668.9667,-0.01692915366126499,169668.9667,-0.016929121065639877,5.848676867468597e-14,108667110,370,0.024,9296,6/19/2019 12:09,169668.9667,117600
18,3.50025,6/19/2019 13:16,"(0.0, 0.22985611484409627)",168344.7667,-0.13657757402662266,168344.7667,-0.1365772551353216,3.7822670326603386e-14,42339640,335,0.025,9297,6/19/2019 12:33,168344.7667,425400
19,3.505233333,6/19/2019 13:26,"(0.0, 4.829842785869796)",0.0,0.10117356033641368,0.0,0.10117324594915968,-1.6979998535471368e-13,62384850,170,0.019,9298,6/19/2019 12:43,209665.2193,350600
20,2.500516667,6/18/2019 12:03,"(0.0013950892857142857, 0.9835934617946325)",186851.0333,-0.0048242071210085734,186851.0333,-0.004824199642826111,4.0052497813958315e-14,33953350,840,0.021,9270,6/18/2019 11:21,186851.0333,108600
21,3.00005,6/18/2019 14:35,"(0.0646701388888889, 0.135172141525305)",189000.0,-0.09336000537676006,189000.0,-0.09335980114492848,1.333350137263229e-13,111619360,35,0.021,9271,6/18/2019 13:53,189000.0,289200
22,2.500283333,6/18/2019 16:43,"(0.0885044642857143, 0.177843661421989)",186000.0,0.004125104089304085,186000.0,0.004125090995213832,-1.296938231687084e-14,98947350,470,0.021,9273,6/18/2019 16:00,186000.0,43400
