backup_kusto_test,end_time,failover_kusto_test,loss,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
,6/20/2019 4:38,,,109226210,565,1.90E-02,9319,6/20/2019 3:56,2.04E+05,60000
,6/20/2019 4:51,,,26682670,870,2.10E-02,9320,6/20/2019 4:09,1.86E+05,485400
,6/20/2019 5:13,,,104681300,425,1.90E-02,9321,6/20/2019 4:31,2.00E+05,385700
,6/20/2019 5:27,,,109175480,710,2.10E-02,9322,6/20/2019 4:45,1.81E+05,350300
,6/20/2019 6:49,,,120977060,485,2.00E-02,9323,6/20/2019 6:07,2.00E+05,89400
,6/19/2019 14:51,,,50816820,690,1.90E-02,9299,6/19/2019 14:09,2.04E+05,133600
,6/19/2019 15:26,,,114583580,105,2.20E-02,9300,6/19/2019 14:43,1.74E+05,45800
,6/19/2019 15:44,,,89156910,170,2.10E-02,9301,6/19/2019 15:01,1.86E+05,81000
,6/19/2019 15:45,,,80835020,90,1.90E-02,9302,6/19/2019 15:02,2.02E+05,355400
